Dataset,Assembler,Score,Mean Sequencing Depth
ERR194159,Mitobim,0,30.0454
ERR194160,Mitobim,0,30.0597
ERR194161,Mitobim,0,30.0565
ERR194146,MitoFlex,99.99095,30.0469
ERR194147,MitoFlex,99.99396,30.0589
ERR194158,MitoFlex,99.99396,30.0593
ERR194159,MitoFlex,99.98793,30.0454
ERR194160,MitoFlex,99.98793,30.0597
ERR194161,MitoFlex,99.70126,30.0565
ERR194146,MitoZ,97.89294,30.0469
ERR194147,MitoZ,99.99409,30.0589
ERR194158,MitoZ,0,30.0593
ERR194159,MitoZ,97.91124,30.0454
ERR194160,MitoZ,99.96379,30.0597
ERR194161,MitoZ,0,30.0565
ERR194146,MToolBox,99.99698,30.0469
ERR194147,MToolBox,99.99698,30.0589
ERR194158,MToolBox,99.99698,30.0593
ERR194159,MToolBox,99.99698,30.0454
ERR194160,MToolBox,99.99396,30.0597
ERR194161,MToolBox,99.99698,30.0565
ERR194146,Novoplasty,99.99095,30.0469
ERR194147,Novoplasty,99.99396,30.0589
ERR194158,Novoplasty,99.99396,30.0593
ERR194159,Novoplasty,99.98793,30.0454
ERR194160,Novoplasty,99.98793,30.0597
ERR194161,Novoplasty,99.99396,30.0565
ERR194146,Org.Asm,99.84499,30.0469
ERR194147,Org.Asm,99.99404,30.0589
ERR194158,Org.Asm,99.92457,30.0593
ERR194159,Org.Asm,99.819,30.0454
ERR194160,Org.Asm,99.98793,30.0597
ERR194161,Org.Asm,99.99095,30.0565
ERR194146,ARC,26.73984,20.0574
ERR194147,ARC,32.8893,20.0779
ERR194158,ARC,28.91018,20.0739
ERR194159,ARC,26.70988,20.064
ERR194160,ARC,34.00937,20.0849
ERR194161,ARC,28.63047,20.0718
ERR194146,Getorganelle,99.98491,20.0574
ERR194147,Getorganelle,99.99396,20.0779
ERR194158,Getorganelle,99.99396,20.0739
ERR194159,Getorganelle,99.98491,20.064
ERR194160,Getorganelle,99.65827,20.0849
ERR194161,Getorganelle,99.99396,20.0718
ERR194146,IOGA,81.10486,20.0574
ERR194147,IOGA,99.994,20.0779
ERR194158,IOGA,99.991,20.0739
ERR194159,IOGA,99.988,20.064
ERR194160,IOGA,82.19482,20.0849
ERR194161,IOGA,99.994,20.0718
ERR194146,MEANGS,99.99237,20.0574
ERR194147,MEANGS,99.99396,20.0779
ERR194158,MEANGS,99.68806,20.0739
ERR194159,MEANGS,99.89517,20.064
ERR194160,MEANGS,99.96079,20.0849
ERR194161,MEANGS,99.99396,20.0718
ERR194146,Mitobim,0,20.0574
ERR194147,Mitobim,0,20.0779
ERR194158,Mitobim,0,20.0739
ERR194159,Mitobim,0,20.064
ERR194160,Mitobim,0,20.0849
ERR194161,Mitobim,0,20.0718
ERR194146,MitoFlex,99.98793,20.0574
ERR194147,MitoFlex,99.99396,20.0779
ERR194158,MitoFlex,99.99396,20.0739
ERR194159,MitoFlex,99.98793,20.064
ERR194160,MitoFlex,99.98793,20.0849
ERR194161,MitoFlex,99.99396,20.0718
ERR194146,MitoZ,97.89596,20.0574
ERR194147,MitoZ,99.99396,20.0779
ERR194158,MitoZ,99.96982,20.0739
ERR194159,MitoZ,97.91124,20.064
ERR194160,MitoZ,99.96379,20.0849
ERR194161,MitoZ,99.99396,20.0718
ERR194146,MToolBox,99.99698,20.0574
ERR194147,MToolBox,99.99698,20.0779
ERR194158,MToolBox,99.99698,20.0739
ERR194159,MToolBox,99.99698,20.064
ERR194160,MToolBox,99.99698,20.0849
ERR194161,MToolBox,99.99698,20.0718
ERR194146,Novoplasty,99.98793,20.0574
ERR194147,Novoplasty,99.99396,20.0779
ERR194158,Novoplasty,99.99396,20.0739
ERR194159,Novoplasty,99.98793,20.064
ERR194160,Novoplasty,99.98793,20.0849
ERR194161,Novoplasty,99.99396,20.0718
