Tool,Reads,Threads,Time (Seconds),Peak CPU Usage (%),Mean CPU Usage (%),Peak Mem Usage (GB)
Novoplasty,225K,2,99,100.35,100.114,0.167871
Novoplasty,225K,4,97,100.36,100.09,0.16748
Novoplasty,225K,8,98,100.65,100.1,0.167871
Novoplasty,225K,16,100,100.38,98.0759,0.167773
Novoplasty,225K,2,98,100.83,100.062,0.167969
Novoplasty,225K,4,98,100.57,100.086,0.167969
Novoplasty,225K,8,100,100.5,100.114,0.167969
Novoplasty,225K,16,100,100.6,100.096,0.168066
Novoplasty,225K,2,95,100.33,100.11,0.167383
Novoplasty,225K,4,97,100.29,100.096,0.16748
Novoplasty,225K,8,97,100.3,100.092,0.167578
Novoplasty,225K,16,97,100.51,100.093,0.167578
Org.Asm,225K,2,949,143.38,100.314,0.829688
Org.Asm,225K,4,945,141.69,100.022,0.824902
Org.Asm,225K,8,949,141.96,100.129,0.825488
Org.Asm,225K,16,946,143.05,100.286,0.825098
Org.Asm,225K,2,960,141.63,100.239,0.830176
Org.Asm,225K,4,958,144.09,100.344,0.829004
Org.Asm,225K,8,962,142.6,100.156,0.830762
Org.Asm,225K,16,966,142.75,100.053,0.828906
Org.Asm,225K,2,960,148.53,100.155,0.836621
Org.Asm,225K,4,961,143.01,100.22,0.833398
Org.Asm,225K,8,967,141.16,99.9819,0.835547
Org.Asm,225K,16,958,148.11,100.227,0.83457
Org.Asm,225K,2,941,148.36,100.264,0.81709
Org.Asm,225K,4,941,143.28,100.11,0.817187
Org.Asm,225K,8,944,140.52,100.141,0.816699
Org.Asm,225K,16,943,142.46,100.202,0.816211
Org.Asm,225K,2,975,142.67,100.239,0.860449
Org.Asm,225K,4,973,140.41,99.9089,0.860156
Org.Asm,225K,8,980,143.33,100.13,0.859277
Org.Asm,225K,16,979,142.22,100.199,0.858887
